hari,id_dosen,id_jadwal,id_kelas,id_matkul,id_waktu,jam_akhir,jam_mulai,prodi,ruangan,semester,sks
"1","35","781","1","184","2","1200","1120","4","16","1","2"
"1","48","794","1","188","2","1320","1200","4","16","1","3"
"3","40","664","1","88","2","1200","1080","2","10","3","3"
"3","14","663","1","87","2","1320","1200","2","10","3","3"
"1","48","645","1","70","2","1200","1080","2","7","1","3"
"1","40","643","1","68","2","1280","1200","2","7","1","2"
"5","33","625","1","37","2","1200","1080","1","3","5","3"
"4","40","637","1","62","2","1200","1080","2","7","1","3"
"4","20","641","1","66","2","1280","1200","2","7","1","2"
"4","59","753","2","157","2","1160","1080","3","15","5","2"
"4","22","751","2","155","2","1240","1160","3","15","5","2"
"1","38","767","2","131","2","1200","1080","3","14","3","3"
"1","5","736","2","137","2","1320","1200","3","14","3","3"
"2","58","634","1","52","2","1200","1080","1","5","7","3"
"2","58","635","1","53","2","1280","1200","1","5","7","2"
"1","6","807","1","204","2","1200","1080","4","19","3","3"
"1","51","803","1","203","2","1240","1200","4","19","3","1"
"3","15","824","1","219","2","1160","1080","4","22","5","2"
"3","36","830","1","221","2","1280","1160","4","22","5","3"
"2","38","724","1","131","2","1200","1080","3","8","3","3"
"2","37","723","1","130","2","1240","1200","3","8","3","1"
"2","22","726","1","133","2","1320","1240","3","8","3","2"
"1","36","833","1","230","2","1200","1080","4","17","7","3"
"1","6","839","1","232","2","1320","1200","4","17","7","3"
"4","57","715","1","113","2","1160","1080","3","9","1","2"
"1","2","855","1","243","2","1160","1080","5","23","1","2"
"1","31","863","1","247","2","1280","1160","5","23","1","3"
"1","53","815","1","216","2","1200","1080","4","22","5","3"
"1","14","827","1","220","2","1320","1200","4","22","5","3"
"2","27","816","2","216","2","1200","1080","4","21","5","3"
"2","36","829","2","221","2","1320","1200","4","21","5","3"
"2","19","771","1","170","2","1200","1080","3","12","7","3"
"2","9","773","1","172","2","1280","1200","3","12","7","2"
"2","55","898","1","288","2","1240","1080","5","25","7","4"
"2","7","842","1","233","2","1200","1080","4","17","7","3"
"2","27","836","1","231","2","1320","1200","4","17","7","3"
"3","48","790","1","188","1","600","480","4","16","1","3"
"3","49","789","1","187","1","640","600","4","16","1","1"
"4","56","881","1","273","1","640","480","5","24","5","4"
"1","14","796","1","199","1","600","480","4","19","3","3"
"1","62","813","1","207","1","720","600","4","19","3","3"
"3","61","610","1","19","2","1200","1080","1","4","3","3"
"3","25","617","1","24","2","1280","1200","1","4","3","2"
"4","24","618","2","22","2","1200","1080","1","2","3","3"
"1","13","630","1","48","2","1160","1080","1","5","7","2"
"1","13","632","1","50","2","1280","1160","1","5","7","3"
"3","2","854","1","243","1","560","480","5","23","1","2"
"3","18","852","1","242","1","640","560","5","23","1","2"
"2","56","882","1","273","2","1240","1080","5","24","5","4"
"1","5","691","1","136","1","560","480","3","8","3","2"
"1","32","690","1","135","1","680","560","3","8","3","3"
"2","31","887","1","276","1","600","480","5","24","5","3"
"2","56","890","1","277","1","720","600","5","24","5","3"
"2","4","859","1","245","2","1200","1080","5","23","1","3"
"3","31","883","1","274","1","600","480","5","24","5","3"
"2","36","834","2","230","2","1200","1080","4","20","7","3"
"2","34","844","2","234","2","1320","1200","4","20","7","3"
"4","35","605","1","17","2","1160","1080","1","4","3","2"
"4","58","607","1","18","2","1280","1160","1","4","3","3"
"5","55","894","1","279","2","1200","1080","5","24","5","3"
"3","32","734","2","135","2","1200","1080","3","14","3","3"
"3","22","732","2","133","2","1280","1200","3","14","3","2"
"1","37","744","1","154","2","1160","1080","3","11","5","2"
"1","9","740","1","150","2","1240","1160","3","11","5","2"
"1","23","737","1","147","2","1320","1240","3","11","5","2"
"2","50","669","1","102","2","1200","1080","2","6","5","3"
"2","14","670","1","103","2","1280","1200","2","6","5","2"
"2","45","671","1","104","2","1320","1280","2","6","5","1"
"1","55","892","1","278","1","600","480","5","24","5","3"
"1","49","886","1","275","1","720","600","5","24","5","3"
"1","35","817","1","217","1","560","480","4","22","5","2"
"1","36","831","1","221","1","680","560","4","22","5","3"
"3","19","710","1","170","1","600","480","3","12","7","3"
"2","15","823","1","219","1","560","480","4","22","5","2"
"2","53","822","1","218","1","680","560","4","22","5","3"
"3","27","837","2","231","2","1200","1080","4","20","7","3"
"3","6","840","2","232","2","1320","1200","4","20","7","3"
"2","27","792","1","190","1","520","480","4","16","1","1"
"2","61","784","1","185","1","640","520","4","16","1","3"
"2","35","783","1","184","1","720","640","4","16","1","2"
"4","24","631","1","49","2","1200","1080","1","5","7","3"
"2","49","897","1","288","1","640","480","5","25","7","4"
"3","8","716","1","114","2","1160","1080","3","9","1","2"
"3","15","713","1","111","2","1240","1160","3","9","1","2"
"3","58","719","1","117","2","1320","1240","3","9","1","2"
"1","20","660","1","84","2","1120","1080","2","10","3","1"
